,Name,Year,Genre,Director,Star1,Star2,Star3,Star4,Star5,Runtime,Rating,Metascore,IMDB rating,Votes,Gross,Inflation adjusted,numStarW,numStarN,starWon,starNom,numMovieW,numMovieN,numOtherW,numOtherN
482,Gone with the Wind,1939,107,Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,Thomas Mitchell,238,1,97,8.2,261373,198680000,3617311183,1,2,1,1,0,0,0,0
483,Pearl Harbor,2001,91,Michael Bay,Ben Affleck,Kate Beckinsale,Josh Hartnett,William Lee Scott,,183,0,44,6.1,290749,198540000,283412268,0,0,0,0,0,0,0,0
484,Monsters vs. Aliens,2009,15,Rob Letterman,Conrad Vernon,Reese Witherspoon,Rainn Wilson,Stephen Colbert,Seth Rogen,94,0,56,6.5,134179,198350000,233688552,1,0,0,0,0,0,0,0
485,Happy Feet,2006,5,George Miller,Warren Coleman,Judy Morris,Elijah Wood,Brittany Murphy,Hugh Jackman,108,1,77,6.5,156015,198000000,248256171,0,0,0,0,0,0,0,0
486,Indiana Jones and the Last Crusade,1989,49,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,,127,0,65,8.2,624895,197170000,402016013,1,2,0,0,0,0,0,0
487,Ice Age: Dawn of the Dinosaurs,2009,15,Carlos Saldanha,Mike Thurmeier,Ray Romano,John Leguizamo,Denis Leary,Eunice Cho,94,1,50,7.0,200817,196570000,231591423,0,0,0,0,0,0,0,0
488,Ice Age: The Meltdown,2006,5,Carlos Saldanha,Ray Romano,John Leguizamo,Denis Leary,Seann William Scott,,91,1,58,6.8,231767,195330000,244908474,0,0,0,0,0,0,0,0
489,Mission: Impossible - Rogue Nation,2015,39,Christopher McQuarrie,Tom Cruise,Rebecca Ferguson,Jeremy Renner,Simon Pegg,,131,0,75,7.4,307059,195040000,207994393,0,5,0,0,0,0,0,0
490,Madagascar,2005,5,Eric Darnell,Tom McGrath,Chris Rock,Ben Stiller,David Schwimmer,Jada Pinkett Smith,86,1,57,6.9,326358,193600000,250570003,0,0,0,0,0,0,0,0
491,Toy Story,1995,5,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,,81,1,95,8.3,779208,191800000,318140215,2,1,0,0,0,0,0,0
492,Charlie and the Chocolate Factory,2005,58,Tim Burton,Johnny Depp,Freddie Highmore,David Kelly,Helena Bonham Carter,,115,1,72,6.6,384746,206460000,267214270,0,3,0,0,0,0,0,0
493,Basic Instinct,1992,48,Paul Verhoeven,Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,,127,3,41,6.9,155116,117730000,212072973,1,0,0,0,0,0,0,0
494,Troy,2004,108,Wolfgang Petersen,Brad Pitt,Eric Bana,Orlando Bloom,Julian Glover,,163,2,56,7.2,446832,133380000,178486146,0,1,0,0,0,0,0,0
495,The Hobbit: An Unexpected Journey,2012,16,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,,169,0,58,7.9,714606,303000000,333572077,0,2,0,0,0,0,0,0
496,X-Men: Days of Future Past,2014,2,Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,,132,0,75,8.0,610782,233920000,249752693,0,3,0,0,0,0,0,0
497,Lucy,2014,99,Luc Besson,Scarlett Johansson,Morgan Freeman,Min-sik Choi,Amr Waked,,89,2,61,6.4,397780,126660000,135232884,1,4,0,0,0,0,0,0
498,Léon,1994,3,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,,110,2,64,8.6,909399,19500000,33252216,0,1,0,0,0,0,0,0
499,Scooby-Doo,2002,58,Raja Gosnell,Matthew Lillard,Freddie Prinze Jr.,Sarah Michelle Gellar,Linda Cardellini,,86,0,35,5.0,86583,153290000,215402359,0,0,0,0,0,0,0,0
500,Alien: Covenant,2017,57,Ridley Scott,Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride,,122,2,65,6.4,221679,74260000,76574536,0,2,0,0,0,0,0,0
501,Tombstone,1993,14,George P. Cosmatos,Kevin Jarre,Kurt Russell,Val Kilmer,Sam Elliott,Bill Paxton,130,4,50,7.8,113598,56510000,98875831,0,0,0,0,0,0,0,0
502,Zodiac,2007,33,David Fincher,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards,,157,2,78,7.7,384837,33080000,40325966,0,2,0,0,0,0,0,0
503,Pride & Prejudice,2005,1,Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherland,,129,1,82,7.8,228515,38410000,49712778,0,2,0,1,0,0,0,0
504,Casino Royale,2006,39,Martin Campbell,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,,144,2,80,8.0,534775,167450000,209951999,1,4,0,0,0,0,0,0
505,Not Another Teen Movie,2001,29,Joel Gallen,Chyler Leigh,Jaime Pressly,Chris Evans,Eric Christian Olsen,,89,3,32,5.7,89623,38250000,54601185,0,0,0,0,0,0,0,0
506,Rocky,1976,87,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,,120,0,70,8.1,466438,117240000,520723707,0,1,0,3,0,0,0,0
507,The Big Lebowski,1998,70,Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,Steve Buscemi,117,2,71,8.1,654900,17500000,27135366,0,4,0,0,0,0,0,0
508,Raiders of the Lost Ark,1981,49,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,,115,8,85,8.5,800184,248160000,689851973,0,0,0,0,0,0,0,0
509,The Spiderwick Chronicles,2008,37,Mark Waters,Freddie Highmore,Sarah Bolger,David Strathairn,Mary-Louise Parker,,96,0,62,6.6,80505,71200000,83586927,0,1,0,0,0,0,0,0
510,Twilight,2008,105,Catherine Hardwicke,Kristen Stewart,Robert Pattinson,Billy Burke,Sarah Clarke,,122,8,56,5.2,390248,191470000,224780742,0,0,0,0,0,0,0,0
511,Spring Breakers,2012,109,Harmony Korine,Vanessa Hudgens,Selena Gomez,Ashley Benson,Rachel Korine,,94,3,63,5.3,124963,14120000,15544679,0,0,0,0,0,0,0,0
512,Murder on the Orient Express,2017,33,Kenneth Branagh,Kenneth Branagh,Penélope Cruz,Willem Dafoe,Judi Dench,,114,0,52,6.5,174123,102830000,106035005,2,13,0,0,0,0,0,0
513,Mother!,2017,110,Darren Aronofsky,Jennifer Lawrence,Javier Bardem,Ed Harris,Michelle Pfeiffer,,121,3,75,6.6,150969,17800000,18354790,2,12,0,0,0,0,0,0
514,Saving Private Ryan,1998,41,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,,169,2,91,8.6,1091760,216540000,335765263,2,2,0,1,0,0,0,0
515,Immortals,2011,84,Tarsem Singh,Henry Cavill,Mickey Rourke,John Hurt,Stephen Dorff,,110,3,46,6.0,151983,83500000,93827216,0,3,0,0,0,0,0,0
516,Skyfall,2012,39,Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,,143,2,81,7.8,587661,304360000,335069298,2,7,0,0,0,0,0,0
517,Ex Machina,2014,30,Alex Garland,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno,,108,0,78,7.7,417029,25440000,27161887,0,0,0,0,0,0,0,0
518,The Edge of Seventeen,2016,24,Kelly Fremon Craig,Hailee Steinfeld,Haley Lu Richardson,Blake Jenner,Kyra Sedgwick,,104,2,77,7.4,84563,14260000,15017677,0,1,0,0,0,0,0,0
519,The Prestige,2006,30,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,,130,2,66,8.5,1049106,53090000,66565253,2,4,0,0,0,0,0,0
